,Census Tract,Ozone,PM2.5,Diesel PM,Pesticides,Tox. Release,Traffic,Asthma,Low Birth Weight,Cardiovascular Disease,Poverty,Unemployment
149,6071005500,0.065,12.05,32.75,0.0,884.618473,938.53,111.82,6.55,12.96,82.1,29.5
150,6037533002,0.046,12.05,23.49,0.0,6047.80114,944.9,79.03,6.28,12.37,57.9,9.2
151,6037543100,0.042,12.05,32.849,0.08,6899.513375,1102.68,90.19,6.11,10.33,35.5,11.7
152,6037575801,0.042,11.21,169.243,2.34,13488.98267,633.62,112.42,6.05,11.02,84.3,14.1
153,6077001500,0.046,13.53,17.312,28.5,451.2898651,486.11,86.39,7.44,11.84,63.3,18.7
154,6037532900,0.046,12.05,24.587,0.0,5467.886227,1045.66,79.03,5.37,12.37,81.2,8.6
155,6029002302,0.065,19.6,25.646,0.0,31.9450918,619.55,89.83,5.86,11.77,72.0,22.3
156,6037291130,0.044,12.05,27.84,0.0,6327.438375,2924.53,66.08,6.35,8.71,40.7,12.4
157,6037553701,0.044,12.05,26.94,0.0,7295.728959,2498.36,61.93,5.22,11.54,61.6,10.7
158,6037535101,0.046,12.05,24.519,0.0,5562.436586,954.09,73.75,6.72,11.5,64.8,19.2
159,6019002601,0.065,15.4,44.17,0.0,2829.660432,413.74,119.15,6.9,17.02,75.4,15.7
160,6071001309,0.062,12.89,40.512,0.53,5334.795409,3875.97,79.43,6.18,12.34,51.1,21.0
161,6099001800,0.053,12.89,25.26,16.22,810.1911859,432.82,86.67,4.73,12.48,62.8,26.2
162,6037535200,0.044,12.05,25.002,0.0,5478.913346,899.26,88.42,7.62,12.7,74.7,15.5
163,6037203300,0.046,12.89,48.216,0.0,6340.513468,2962.46,96.21,4.88,10.36,56.6,4.3
164,6037404703,0.051,11.63,26.445,5.34,9320.167583,3844.98,57.41,4.56,9.82,63.5,13.2
165,6037242200,0.044,12.05,25.04,0.0,5736.077105,568.16,88.42,5.93,12.7,70.0,13.5
166,6037535603,0.044,12.05,25.04,0.0,6191.008127,991.32,46.23,8.04,11.83,49.5,12.8
167,6019001700,0.065,15.82,13.817,2273.75,2490.114245,571.47,79.97,5.95,10.73,48.9,13.7
168,6037570202,0.042,12.05,29.03,61.01,6196.239534,2358.67,62.76,6.99,8.16,44.8,19.9
169,6037541604,0.044,12.05,22.232,0.0,5974.851237,706.2,79.9,6.38,12.39,77.5,18.4
170,6037535300,0.044,12.05,24.732,0.0,5916.30207,984.84,71.89,5.41,10.87,69.5,14.0
171,6037123304,0.055,12.05,21.73,0.0,1092.164091,2333.92,56.33,5.68,9.97,58.4,18.8
172,6037536102,0.044,12.05,17.726,0.02,8183.524768,2135.53,37.83,7.69,9.23,36.4,9.1
173,6037237202,0.046,12.05,16.12,0.0,3648.440342,1039.82,137.25,7.76,10.85,47.1,11.5
174,6065030400,0.065,12.47,25.892,0.0,1172.774542,1820.51,61.75,5.06,9.13,59.7,12.9
175,6037542502,0.044,12.05,22.485,0.0,6050.658398,622.21,110.81,9.17,12.82,60.7,20.0
176,6037127104,0.055,11.21,18.09,0.0,921.6040264,1502.57,98.74,7.67,13.75,54.3,21.8
177,6019002800,0.065,15.4,36.6,0.0,2441.611601,821.23,100.91,7.65,12.3,80.2,21.5
178,6037433901,0.05,12.05,32.03,0.0,7215.084651,828.23,63.26,5.3,8.05,70.9,11.5
179,6071004003,0.065,13.31,16.728,1.32,1187.284401,492.28,48.17,6.54,8.99,52.3,15.1
180,6037302505,0.05,12.05,24.86,0.0,2504.472243,784.56,54.47,7.24,11.24,65.5,16.6
181,6077002000,0.046,13.61,16.746,23.61,574.7101756,1354.4,80.48,5.74,11.23,68.5,18.8
182,6037188100,0.051,12.47,24.831,0.0,2361.444927,3118.84,60.91,5.22,9.09,40.8,7.8
183,6065040204,0.065,12.89,19.67,0.0,1647.474322,1586.76,55.89,5.37,12.3,67.3,14.0
184,6037240500,0.044,12.05,24.76,0.0,5106.577821,3760.06,95.56,7.66,13.17,76.0,14.3
185,6071004104,0.068,12.47,21.938,0.0,1608.33263,1016.11,83.09,6.3,11.08,73.4,22.9
186,6037602509,0.044,12.05,23.509,4.13,4943.748642,2309.13,73.29,5.39,9.96,45.9,6.1
187,6047001005,0.057,12.89,22.831,73.16,43.9,808.6,94.1,7.62,14.19,67.7,25.2
188,6099003700,0.057,12.89,11.44,2814.76,387.0781063,809.5,82.64,5.18,14.43,44.9,12.1
189,6077002402,0.048,12.05,23.068,0.0,951.7306167,1123.75,128.15,4.61,14.74,71.0,21.7
190,6037239320,0.046,12.05,26.33,0.0,4639.826624,1154.06,95.56,5.63,13.17,65.4,10.0
191,6037542601,0.044,12.05,18.7,0.0,5934.910476,604.98,99.6,6.68,11.71,66.5,14.7
192,6037122121,0.055,12.05,39.93,0.0,1150.103412,970.75,77.04,6.25,8.41,48.1,11.8
193,6037219800,0.046,12.05,24.45,0.0,2135.956694,2880.28,100.42,6.88,9.96,66.7,13.2
194,6037541603,0.044,12.05,18.7,0.0,6010.256126,752.18,67.98,5.24,9.16,74.9,21.9
195,6037402303,0.057,12.89,27.67,0.0,7381.369339,1877.05,68.69,8.14,7.99,69.0,11.3
196,6065042209,0.065,12.89,39.41,2.59,862.6141071,1563.53,52.47,7.45,7.72,63.2,15.5
197,6037433801,0.048,12.05,22.477,0.01,8544.413852,706.85,52.93,6.56,8.53,73.3,9.6
198,6037601502,0.044,12.05,38.92,5.51,3822.370401,3005.12,68.69,8.66,11.11,70.5,10.0
199,6037121020,0.055,12.05,21.73,0.03,1031.72339,2025.76,78.9,7.55,13.7,38.5,8.8
200,6037572301,0.042,11.21,26.667,10.3,9073.592886,2119.0,72.09,5.24,9.55,46.6,12.9
201,6037204700,0.046,12.89,43.442,0.0,13177.75685,2876.64,58.02,6.42,8.57,58.4,7.2
202,6037535606,0.044,12.05,25.04,0.0,6054.879015,1060.77,46.23,6.9,11.83,76.9,9.4
203,6037239330,0.046,12.05,26.33,0.0,4989.856724,1269.31,45.07,6.86,6.57,72.7,13.2
204,6019002400,0.065,15.4,54.06,0.0,2779.26855,1124.63,116.9,7.33,9.6,80.2,19.3
205,6099000304,0.053,12.89,15.31,10.54,2725.721866,306.4,48.64,4.8,10.04,59.6,16.3
206,6037122000,0.055,11.63,21.303,0.0,974.704336,2435.26,70.59,5.15,11.71,39.1,14.6
207,6037534101,0.046,12.05,24.061,62.12,9976.353262,2121.54,48.15,4.63,10.08,71.1,7.0
208,6077003802,0.048,11.63,11.653,170.57,903.5315492,1388.33,94.06,7.5,11.01,39.5,15.1
209,6037602801,0.044,12.05,24.689,0.0,4938.233744,2860.99,114.99,7.05,11.94,67.2,14.6
210,6099002501,0.053,12.89,17.3,28.97,972.7615771,768.49,52.08,5.0,10.33,48.0,17.1
211,6077003900,0.046,11.21,4.905,1550.07,457.9846799,183.14,79.43,6.25,9.75,56.2,7.7
212,6019001410,0.065,15.4,24.691,1086.99,5796.375231,315.72,73.98,5.91,10.49,50.5,12.7
214,6071002110,0.065,12.89,45.299,0.0,21406.61249,920.88,50.04,6.59,12.18,40.3,12.9
215,6037532303,0.046,12.05,31.097,0.11,13896.8945,1636.33,56.07,4.48,10.09,33.2,18.2
216,6037123010,0.055,12.05,39.086,0.0,1197.572948,1010.75,73.24,6.56,8.12,63.0,10.4
217,6037296210,0.042,11.21,50.719,0.0,6724.976346,743.12,84.98,7.41,9.68,64.3,18.4
218,6037124103,0.055,12.05,22.129,0.0,1249.719759,1224.33,70.64,7.11,13.05,64.2,18.1
219,6071005400,0.068,12.05,32.75,0.0,930.3799215,876.58,118.49,7.06,13.71,71.2,18.4
220,6037104703,0.055,11.63,23.143,0.0,900.777144,733.44,73.67,5.3,7.69,75.1,12.7
221,6037239310,0.046,12.05,26.33,0.0,4528.608952,4289.98,95.56,6.5,13.17,75.0,10.5
222,6037575802,0.042,11.21,160.262,2.75,12200.14975,584.65,122.08,7.66,11.92,76.4,12.1
223,6037541002,0.042,12.05,27.16,24.05,8163.047022,816.41,70.62,6.28,7.67,35.9,16.9
224,6037229300,0.046,12.89,26.33,0.0,4477.010858,867.02,63.52,6.76,9.63,87.3,11.7
225,6037602600,0.044,12.05,23.4,4.23,4942.788289,829.31,86.69,7.61,10.4,36.6,12.9
226,6037570402,0.042,12.05,29.03,0.0,6219.137885,2895.06,79.96,7.28,9.9,43.3,14.3
227,6037224010,0.046,12.89,44.394,0.0,4753.25072,2860.01,78.84,6.27,8.44,84.1,11.6
228,6071001400,0.062,12.89,37.47,0.84,5173.316963,509.81,55.61,4.83,10.01,46.6,17.7
229,6031001100,0.062,17.08,14.291,87.78,118.9653118,262.39,138.1,6.35,9.47,73.2,20.6
230,6037294620,0.042,11.21,36.66,0.0,10211.22489,949.48,70.22,5.04,10.57,56.6,10.9
231,6037294900,0.042,11.21,49.83,0.0,8089.268621,1215.43,70.22,5.28,10.57,72.5,18.6
232,6071001501,0.062,12.89,37.47,0.06,5257.633051,756.15,75.97,6.17,11.93,51.3,7.5
233,6037294830,0.042,11.21,49.83,0.0,8378.154679,435.19,70.22,5.89,10.57,69.2,12.2
234,6099001700,0.053,12.89,25.26,0.0,708.9262774,780.28,95.48,3.9,15.53,79.8,21.1
235,6099001601,0.053,12.89,16.499,0.0,615.0,761.71,97.69,7.39,16.07,64.2,19.8
236,6071005800,0.065,12.05,38.37,0.0,710.0996388,337.48,142.88,6.68,20.61,88.3,23.7
237,6037541100,0.044,12.05,26.06,0.28,6067.434965,573.16,96.77,6.37,11.22,52.4,13.8
238,6037533806,0.046,12.05,23.1,19.32,9453.260823,3225.17,48.15,5.08,10.08,60.7,8.9
239,6037542402,0.042,12.05,32.549,0.0,6332.774437,1290.68,79.51,4.77,12.17,40.7,16.3
240,6077002701,0.046,13.61,13.403,76.67,496.3526979,1489.38,53.25,5.19,10.2,64.3,20.6
241,6037208000,0.046,12.89,60.69,0.0,4766.535958,2515.15,42.23,6.95,5.98,60.8,12.2
242,6037229100,0.046,12.89,24.663,0.0,5314.230576,998.08,63.52,6.11,9.63,68.2,7.8
243,6037301602,0.053,12.05,28.458,0.0,1886.911583,3264.62,29.83,7.26,8.73,33.5,13.3
244,6037533901,0.046,12.05,26.21,50.66,9447.032039,681.87,42.63,4.77,8.76,71.8,11.7
245,6001409000,0.03,8.69794377,38.28,0.0,596.1677629,1419.88,147.84,6.15,11.34,52.5,13.3
246,6037541400,0.044,12.05,18.7,0.0,5852.679764,447.04,102.03,5.45,12.0,69.4,17.8
247,6037534102,0.046,12.05,26.21,77.12,9499.925012,633.32,48.15,4.52,10.08,67.8,11.3
248,6037573201,0.042,11.21,29.12,0.0,8930.870789,657.25,81.84,7.83,9.57,56.9,13.5
249,6037531301,0.046,12.47,56.52,0.0,32280.80867,2802.31,53.11,5.31,8.22,73.6,16.1
250,6037553702,0.044,12.05,27.039,0.0,7011.650965,1855.98,61.93,5.65,11.54,58.4,11.2
251,6037536104,0.044,12.05,18.53,0.06,8248.814046,1685.11,43.82,4.34,11.1,57.4,13.0
252,6037535001,0.046,12.05,24.84,0.0,5460.691009,1169.64,79.03,6.76,12.37,64.8,10.5
253,6037543000,0.044,12.05,27.726,0.5,6326.085649,392.43,105.05,6.96,12.21,35.3,15.6
254,6019000501,0.065,15.4,55.345,1.39,3558.547953,1127.73,68.28,5.62,9.0,72.9,12.5
255,6099003802,0.057,12.89,15.512,2.73,590.6995938,1000.28,82.64,4.59,14.43,71.2,23.7
256,6037404802,0.051,11.21,23.13,0.02,10733.42184,1611.54,62.29,6.26,10.58,55.6,14.5
257,6037542401,0.044,12.05,25.897,0.0,6118.974219,611.28,87.61,5.95,13.56,51.8,17.7
258,6037199000,0.046,12.89,29.797,0.0,4446.100608,2067.93,49.93,6.13,6.29,64.5,7.8
259,6037187102,0.048,12.47,26.943,0.0,3279.973919,2074.23,61.04,5.93,9.09,39.8,8.1
260,6037553801,0.044,12.05,25.093,0.0,13253.50294,489.55,61.93,5.73,11.54,57.9,12.0
261,6071001504,0.062,12.89,40.55,0.79,5801.706859,1261.73,56.25,7.4,9.6,55.2,12.4
262,6037232500,0.046,12.47,16.12,0.0,3494.124106,1117.25,89.2,7.75,10.13,55.5,12.7
