Census_Tract,Ozone,PM2_5,Diesel_PM,Pesticides,Tox_Release,Traffic
6037228100,0.046,12.89,42.82,0.0,6132.236744,530.13
6037292000,0.042,12.05,19.699,0.03,10548.6642,2511.49
6037434001,0.05,12.05,32.03,16.71,8051.796181,971.38
6037122122,0.055,12.05,37.276,0.0,1100.164818,1625.33
6099001500,0.053,12.89,15.428,1528.52,564.7514342,650.75
6037242600,0.044,12.05,25.04,0.0,5631.459453,3279.99
6077000900,0.048,13.44,20.032,0.36,826.3113751,1960.84
6037228900,0.046,12.47,23.49,0.0,5940.839994,577.44
6037433302,0.05,11.63,32.03,0.0,7081.275742,2059.86
6099001400,0.053,12.89,22.0,16.74,915.0099419,858.77
6099002402,0.053,12.89,19.35,624.55,668.6804943,538.15
6071005600,0.065,12.05,37.59,0.0,839.7930723,981.21
6019003001,0.065,15.4,25.39,0.63,2236.343215,558.67
6037402304,0.057,12.47,25.468,0.0,8587.711816,810.09
6037122420,0.055,12.05,21.73,0.0,1156.096193,969.19
6037536103,0.044,12.05,18.53,0.03,7030.105063,1081.69
6037199700,0.046,12.89,62.433,0.0,5566.077134,2355.35
6029002100,0.065,19.18,25.57,0.0,45.75489149,719.8
6037219902,0.046,12.05,24.45,0.24,1939.803289,2086.55
6037206300,0.046,12.89,61.232,0.0,6440.180577,645.7
6037123206,0.055,12.05,40.007,0.0,1257.986471,1078.75
6077000600,0.046,13.61,21.68,0.11,637.8737156,642.67
6065030104,0.065,12.89,37.024,0.0,1098.770327,1725.72
6071004004,0.065,12.89,21.997,0.01,1073.38959,1507.26
6037540901,0.044,12.05,27.84,0.0,5497.891787,1815.31
6037532603,0.046,12.05,23.49,0.0,6614.764952,806.73
6029002400,0.065,19.6,8.677,314.73,173.7907491,537.47
6065042505,0.065,12.89,27.03,0.0,891.1838744,1520.45
6071002204,0.065,13.31,30.969,0.0,5527.415108,1095.52
6037239502,0.046,12.05,26.33,0.0,5111.57156,979.6
6019003805,0.062,15.4,35.276,5.98,2656.837802,1131.46
6037553601,0.044,12.05,26.611,0.0,8306.36672,1626.68
6037402804,0.057,12.89,22.77,0.0,7345.338449,481.45
6019001800,0.065,15.4,8.728,2239.24,3024.583829,286.07
6071001813,0.062,12.89,29.59,3.33,6159.352785,399.55
6037534301,0.046,12.05,18.866,0.05,8092.279194,662.27
6037206200,0.046,12.89,62.68,0.0,6342.833218,614.69
6037432801,0.05,11.21,20.62,0.31,5943.506255,1652.23
6037601600,0.044,12.05,38.92,4.76,4095.509354,2827.76
6037229410,0.046,12.89,26.33,0.0,4694.697378,832.79
6037601401,0.046,12.05,38.92,0.0,2641.37585,2485.36
6037239602,0.046,12.05,26.33,0.0,4750.177076,4700.41
6037127400,0.057,10.79,31.67,0.0,756.1055373,2612.0
6037302302,0.051,12.05,24.86,0.0,2698.895003,854.2
6037228800,0.046,12.89,29.475,0.0,5893.677164,502.69
6071005500,0.065,12.05,32.75,0.0,884.618473,938.53
6037533002,0.046,12.05,23.49,0.0,6047.80114,944.9
6037543100,0.042,12.05,32.849,0.08,6899.513375,1102.68
6037575801,0.042,11.21,169.243,2.34,13488.98267,633.62
6077001500,0.046,13.53,17.312,28.5,451.2898651,486.11
6037532900,0.046,12.05,24.587,0.0,5467.886227,1045.66
6029002302,0.065,19.6,25.646,0.0,31.9450918,619.55
6037291130,0.044,12.05,27.84,0.0,6327.438375,2924.53
6037553701,0.044,12.05,26.94,0.0,7295.728959,2498.36
6037535101,0.046,12.05,24.519,0.0,5562.436586,954.09
6019002601,0.065,15.4,44.17,0.0,2829.660432,413.74
6071001309,0.062,12.89,40.512,0.53,5334.795409,3875.97
6099001800,0.053,12.89,25.26,16.22,810.1911859,432.82
6037535200,0.044,12.05,25.002,0.0,5478.913346,899.26
6037203300,0.046,12.89,48.216,0.0,6340.513468,2962.46
6037404703,0.051,11.63,26.445,5.34,9320.167583,3844.98
6037242200,0.044,12.05,25.04,0.0,5736.077105,568.16
6037535603,0.044,12.05,25.04,0.0,6191.008127,991.32
6019001700,0.065,15.82,13.817,2273.75,2490.114245,571.47
6037570202,0.042,12.05,29.03,61.01,6196.239534,2358.67
6037541604,0.044,12.05,22.232,0.0,5974.851237,706.2
6037535300,0.044,12.05,24.732,0.0,5916.30207,984.84
6037123304,0.055,12.05,21.73,0.0,1092.164091,2333.92
6037536102,0.044,12.05,17.726,0.02,8183.524768,2135.53
6037237202,0.046,12.05,16.12,0.0,3648.440342,1039.82
6065030400,0.065,12.47,25.892,0.0,1172.774542,1820.51
6037542502,0.044,12.05,22.485,0.0,6050.658398,622.21
6037127104,0.055,11.21,18.09,0.0,921.6040264,1502.57
6019002800,0.065,15.4,36.6,0.0,2441.611601,821.23
6037433901,0.05,12.05,32.03,0.0,7215.084651,828.23
6071004003,0.065,13.31,16.728,1.32,1187.284401,492.28
6037302505,0.05,12.05,24.86,0.0,2504.472243,784.56
6077002000,0.046,13.61,16.746,23.61,574.7101756,1354.4
6037188100,0.051,12.47,24.831,0.0,2361.444927,3118.84
6065040204,0.065,12.89,19.67,0.0,1647.474322,1586.76
6037240500,0.044,12.05,24.76,0.0,5106.577821,3760.06
6071004104,0.068,12.47,21.938,0.0,1608.33263,1016.11
6037602509,0.044,12.05,23.509,4.13,4943.748642,2309.13
