,Census Tract,Total Population,ZIP,Longitude,Latitude
4104,6013360101,4576,94803,-122.2870052,37.9824969
4105,6023001101,6350,95521,-124.0989799,40.8875919
4106,6065050600,6850,92562,-117.2284737,33.5730829
4107,6033001000,6045,95453,-122.8861893,38.9890591
4108,6041112100,4315,94901,-122.5205522,37.9610288
4109,6085504311,7062,95131,-121.8845877,37.3775245
4110,6075011300,3143,94108,-122.4093492,37.7946971
4111,6037503802,5054,90638,-118.0035625,33.8982866
4112,6001405800,3965,94606,-122.2330985,37.7939452
4113,6059099202,8323,92704,-117.9248099,33.7336169
4114,6073013102,6487,91911,-117.0657271,32.6166605
4115,6037124600,3123,91423,-118.4269321,34.1620692
4116,6115040303,6555,95901,-121.5423602,39.1207198
4117,6037700502,4246,90069,-118.3807073,34.0902917
4118,6101050402,3970,95991,-121.6216316,39.0836731
4119,6037920328,1990,91355,-118.5720874,34.4168102
4120,6073013309,7005,91911,-117.0337536,32.6183278
4121,6073015703,7102,92020,-116.9491346,32.7912925
4122,6001435800,5382,94580,-122.1296018,37.6793691
4123,6071009911,6456,92392,-117.3581242,34.4940982
4124,6037137103,4199,91367,-118.6013402,34.1744847
4125,6029005700,2226,93524,-117.8740532,34.9163282
4127,6059088901,6725,92844,-117.9622131,33.7606739
4128,6021010200,4901,95963,-122.2109384,39.7422205
4129,6001423400,4685,94703,-122.275884,37.8583737
4130,6111007700,5988,93065,-118.8083423,34.278331
4131,6067007903,4576,95608,-121.3175668,38.6559109
4132,6059110301,6729,90620,-118.0275847,33.8534538
4133,6037575002,4627,90804,-118.1434676,33.7857845
4134,6037609900,2034,90732,-118.302932,33.7409725
4135,6065045224,5471,92201,-116.257874,33.6963551
4136,6037183104,2065,90042,-118.1723137,34.1236781
4137,6037143800,4878,91604,-118.3805891,34.135557
4138,6059099411,5500,92647,-117.9978509,33.719217
4139,6073020206,5217,92027,-117.0593149,33.1414533
4140,6037910404,4130,93550,-118.1238241,34.5646915
4141,6085504700,719,94035,-122.0497236,37.4164755
4142,6095252314,4113,94533,-122.0358438,38.2769991
4143,6071010424,1966,92285,-116.6221331,34.3821714
4144,6073019002,1759,92028,-117.1450804,33.3908759
4145,6037400800,3967,91741,-117.8882752,34.1385557
4146,6085504504,9882,95035,-121.8964329,37.4216447
4147,6059011711,7305,92831,-117.8692764,33.8856931
4148,6081601502,5125,94015,-122.4782558,37.6692204
4149,6095253204,7098,95688,-121.9869787,38.3825661
4150,6065050500,13261,92563,-117.1625546,33.5490166
4151,6073019404,3984,92083,-117.251038,33.21679
4152,6001409900,3308,94605,-122.1353845,37.7619882
4153,6037272302,4074,90066,-118.4274418,34.0021096
4154,6037401201,3110,91740,-117.8360111,34.125033
4155,6085504101,4273,95127,-121.8203847,37.3693396
4156,6037702002,5700,90405,-118.4861752,34.005774
4157,6037571504,4699,90807,-118.1697128,33.8387095
4158,6067009633,3309,95823,-121.4384109,38.4632142
4159,6073001800,5319,92116,-117.1186054,32.7628849
4160,6031000701,5321,93230,-119.6393201,36.3580168
4161,6037910706,6022,93543,-117.9994644,34.5534723
4162,6037920115,4149,91355,-118.5500603,34.4257895
4163,6075060502,3216,94134,-122.4199075,37.7109991
4164,6071011500,1890,92305,-116.8684367,34.1433712
4165,6065043222,3842,92592,-117.1252348,33.486084
4166,6037920037,7131,91387,-118.4506856,34.4133059
4167,6107001501,5258,93221,-119.1444506,36.3043939
4168,6071002016,3883,91730,-117.6094279,34.1135458
4169,6013303204,4182,94513,-121.7087615,37.9289646
4170,6087122500,6670,95076,-121.7451776,36.9514486
4171,6075020800,6577,94110,-122.4191487,37.7594331
4172,6053014800,6112,93925,-121.4025672,36.5669002
4173,6073008360,5857,92126,-117.1295038,32.8998788
4174,6037920102,5668,91384,-118.6002393,34.6330733
4175,6073003201,4932,92139,-117.0608884,32.6836181
4176,6073021000,4440,92004,-116.27356,33.1112185
4177,6097154201,3925,95425,-123.0170717,38.8133955
4178,6067004906,2797,95823,-121.4583035,38.4780464
4179,6071010409,3018,92277,-115.5309263,34.2421428
4180,6037920043,5711,91387,-118.4409013,34.3909399
4182,6065044104,2647,92220,-116.905094,33.9845789
4183,6059110106,3577,90630,-118.0573402,33.8142505
4184,6085505303,5940,95050,-121.9639652,37.3583043
4185,6085503211,4744,95121,-121.8323618,37.3118522
4186,6037212502,2767,90005,-118.3069674,34.0586417
4187,6071009708,5221,92308,-117.1272467,34.4076989
4189,6001405301,2603,94606,-122.2513558,37.8020757
4190,6073016100,5788,92020,-116.9898526,32.7999329
4191,6029005401,6099,93555,-117.6877641,35.6445188
4192,6037501600,7190,90601,-118.008555,33.9760214
4193,6037460302,4442,91001,-118.1576938,34.1943756
4194,6075012201,4567,94109,-122.4163535,37.7858464
4195,6037275101,1177,90230,-118.4045296,33.9992665
4197,6073013000,5903,91910,-117.0798163,32.6248441
4198,6059062627,3308,92612,-117.8336974,33.6531552
4199,6037461501,3700,91104,-118.1372076,34.1741653
4200,6037278001,2458,90045,-118.4012,33.9569112
4201,6073010200,6800,91932,-117.1145672,32.5653537
4202,6037405900,4049,91722,-117.8902516,34.1030754
4203,6065042711,4543,92586,-117.1928886,33.7014254
4204,6059099603,6126,92647,-118.0388823,33.7473928
4205,6097151201,6855,94931,-122.719615,38.3395569
4206,6065044602,2907,92262,-116.5369071,33.8376124
4207,6085503336,3492,95121,-121.8043549,37.3067237
4208,6059075401,3895,92706,-117.860883,33.7674578
4209,6021010300,2373,95939,-122.501299,39.6052917
4210,6037700200,6321,90046,-118.365303,34.0924899
4211,6013303102,7624,94513,-121.7074839,37.9577924
4212,6037113213,4316,91311,-118.6071365,34.2519958
4213,6059063603,6223,92663,-117.9474672,33.6344482
4214,6073010003,5906,92154,-117.0440935,32.5788424
4215,6075022903,3384,94110,-122.4062364,37.7517621
4216,6075020900,4372,94110,-122.4184125,37.7518186
4217,6053001500,5741,93901,-121.6725273,36.6584132
4218,6053011101,5188,93924,-121.4738188,36.3642891
4219,6073014200,6277,91945,-117.0431132,32.7274195
4220,6085503506,6432,95122,-121.8272382,37.3436482
4221,6053014301,3602,93908,-121.7956088,36.7252682
4222,6065049600,7176,92591,-117.1579375,33.5357701
4223,6079010016,4864,93446,-120.7906393,35.6400242
4224,6097152702,5242,95403,-122.7912911,38.5043031
4225,6053000101,2079,93906,-121.6220696,36.7396574
4226,6019005905,6809,93657,-119.5874178,36.7864934
4227,6059088203,4819,92840,-117.9586224,33.7849481
4228,6059086801,3267,92801,-117.9804644,33.8485717
4229,6073002707,5369,92105,-117.0895143,32.7529867
4230,6065044606,2852,92262,-116.6260603,33.8749566
4231,6021010100,8192,95963,-122.1823274,39.744188
4232,6085504507,5768,95035,-121.9129194,37.4356863
4233,6071010411,6752,92284,-116.4313005,34.1517898
4234,6095250300,3206,94591,-122.2235833,38.1048774
4235,6037575001,3608,90815,-118.1471333,33.794704
4236,6037403901,3110,91740,-117.873247,34.1215084
4237,6075022801,5078,94110,-122.4125093,37.7607261
4238,6059011716,5410,92870,-117.8529546,33.8722006
4239,6083002211,5366,93454,-120.3928629,34.9569166
4240,6059062612,8186,92612,-117.8143677,33.6622148
4241,6059001704,7451,92833,-117.9568638,33.8866381
4242,6013303203,8491,94513,-121.7320102,37.9471133
4243,6037503401,6529,90603,-117.9846451,33.9356035
4244,6067005204,4220,95826,-121.3854151,38.5497903
4245,6073010300,4507,91932,-117.1144635,32.575638
4246,6001442700,2873,94536,-122.0081115,37.5371537
4247,6061021003,6210,95678,-121.275694,38.7645742
4248,6111005502,5127,93010,-119.0527386,34.2197814
4249,6073009000,3861,92111,-117.1788279,32.7782882
4250,6073013702,5357,91977,-116.9969521,32.7405936
4251,6001420400,3124,94710,-122.3256618,37.8886213
4252,6097153902,4147,95448,-122.8671471,38.6120817
4253,6073014902,3186,91942,-117.0117565,32.7707635
4254,6073012303,3431,91910,-117.0732999,32.6512908
4255,6059001301,6423,90631,-117.9678496,33.9227729
4256,6001436100,5261,94580,-122.1235777,37.6718054
4257,6053000501,4842,93905,-121.632795,36.6758875
4258,6037571900,5509,90807,-118.1773895,33.8319177
4259,6001440336,4459,94587,-122.0175013,37.5811633
4260,6029002804,2672,93309,-119.0678215,35.3449134
4261,6001432700,2478,94577,-122.1428437,37.7270703
4262,6007001704,3060,95965,-121.5013525,39.960108
4263,6113010302,7270,95691,-121.5334072,38.5450814
4264,6073002708,5689,92115,-117.0830585,32.7531727
4265,6037186202,1974,90065,-118.2241897,34.1200291
4266,6029000907,2463,93306,-118.9229278,35.379737
4267,6037189300,3077,90068,-118.3093146,34.1112674
4268,6037214901,3083,90048,-118.3872385,34.0742811
4269,6097152000,2079,95404,-122.713301,38.4416422
4270,6075016802,3264,94102,-122.4249293,37.7735403
4271,6095253205,3022,95688,-121.9717589,38.3742945
4272,6085512311,3314,95037,-121.6599882,37.1496048
4273,6001410000,2805,94605,-122.1332163,37.7447566
4274,6013336202,5701,94520,-122.0446085,37.9550364
4275,6037503502,4130,90604,-118.003196,33.9320286
4276,6001442900,7194,94538,-121.9748246,37.5183894
4277,6071010417,3251,92256,-116.5601965,34.0582671
4278,6053000102,9054,93906,-121.6348578,36.7107945
4279,6065044102,2841,92220,-116.8940377,33.9307499
4280,6037128602,3189,91401,-118.4356063,34.1712144
4281,6059099413,8230,92648,-118.0005081,33.6929418
4282,6037109200,2669,91344,-118.4746272,34.277998
4283,6075020200,6269,94103,-122.4241789,37.7671163
4284,6101050401,4783,95991,-121.6248059,39.1071246
4285,6055201003,4389,94558,-122.2313016,38.2374372
4286,6085506301,5334,95117,-121.9614732,37.3197153
4287,6001451506,3138,94550,-121.7291862,37.6833516
4288,6037461100,4844,91001,-118.1397371,34.1851953
4289,6071009707,5920,92308,-117.2261814,34.4477844
