Census_Tract,Asthma,Low_Birth_Weight,Cardiovascular_Disease,Poverty,Unemployment,Traffic
6077000900,149.5,7.32,12.31,57.3,22.5,1960.84
6037228900,76.55,7.2,10.27,84.8,13.5,577.44
6037433302,67.93,4.63,8.58,78.4,14.4,2059.86
6099001400,97.48,5.38,12.46,61.4,27.9,858.77
6099002402,84.77,5.9,12.16,82.2,24.9,538.15
6071005600,119.54,7.48,15.77,84.6,19.5,981.21
6019003001,75.44,6.61,10.71,57.2,12.6,558.67
6037402304,77.44,4.69,9.0,74.3,22.8,810.09
6037122420,71.23,7.22,12.13,57.4,9.8,969.19
6037536103,46.23,5.48,11.83,42.3,12.3,1081.69
6037199700,45.01,6.56,5.94,66.4,12.4,2355.35
6029002100,89.83,7.65,11.77,71.6,22.2,719.8
6037219902,83.36,6.46,8.56,54.6,10.9,2086.55
6037206300,90.55,9.89,5.06,94.9,41.1,645.7
6037123206,61.15,6.25,11.23,64.6,10.4,1078.75
6077000600,90.94,7.01,12.43,80.6,14.9,642.67
6065030104,102.96,5.59,11.82,44.9,19.1,1725.72
6071004004,55.09,6.69,9.0,54.9,13.8,1507.26
6037540901,81.72,8.61,10.17,58.5,15.4,1815.31
6037532603,59.17,5.56,11.01,77.0,15.6,806.73
6029002400,89.83,4.55,11.77,62.8,17.5,537.47
6065042505,58.11,6.98,8.7,74.2,20.5,1520.45
6071002204,74.22,4.6,13.01,56.0,18.7,1095.52
6037239502,68.91,6.83,10.35,67.1,18.9,979.6
6019003805,88.39,6.12,10.71,77.3,18.1,1131.46
6037553601,50.32,7.26,9.7,47.9,12.0,1626.68
6037402804,70.31,6.14,10.29,68.5,9.1,481.45
6019001800,110.07,6.38,12.15,42.9,11.7,286.07
6071001813,42.99,5.43,11.71,68.1,14.3,399.55
6037534301,48.15,5.8,10.08,61.1,15.8,662.27
6037206200,67.73,8.86,4.18,72.2,15.4,614.69
6037432801,53.71,5.96,9.53,61.8,10.4,1652.23
6037601600,68.69,6.04,11.11,51.3,12.8,2827.76
6037229410,63.39,5.06,9.61,86.6,15.7,832.79
6037601401,86.66,8.42,11.71,53.7,12.7,2485.36
6037239602,95.56,5.12,13.17,83.1,15.9,4700.41
6037127400,74.19,7.36,10.44,70.2,13.7,2612.0
6037302302,72.69,4.71,10.53,48.5,11.3,854.2
6037228800,64.0,5.89,8.99,74.7,9.9,502.69
6071005500,111.82,6.55,12.96,82.1,29.5,938.53
6037533002,79.03,6.28,12.37,57.9,9.2,944.9
6037543100,90.19,6.11,10.33,35.5,11.7,1102.68
6037575801,112.42,6.05,11.02,84.3,14.1,633.62
6077001500,86.39,7.44,11.84,63.3,18.7,486.11
6037532900,79.03,5.37,12.37,81.2,8.6,1045.66
6029002302,89.83,5.86,11.77,72.0,22.3,619.55
6037291130,66.08,6.35,8.71,40.7,12.4,2924.53
6037553701,61.93,5.22,11.54,61.6,10.7,2498.36
6037535101,73.75,6.72,11.5,64.8,19.2,954.09
6019002601,119.15,6.9,17.02,75.4,15.7,413.74
6071001309,79.43,6.18,12.34,51.1,21.0,3875.97
6099001800,86.67,4.73,12.48,62.8,26.2,432.82
6037535200,88.42,7.62,12.7,74.7,15.5,899.26
6037203300,96.21,4.88,10.36,56.6,4.3,2962.46
6037404703,57.41,4.56,9.82,63.5,13.2,3844.98
6037242200,88.42,5.93,12.7,70.0,13.5,568.16
6037535603,46.23,8.04,11.83,49.5,12.8,991.32
6019001700,79.97,5.95,10.73,48.9,13.7,571.47
6037570202,62.76,6.99,8.16,44.8,19.9,2358.67
6037541604,79.9,6.38,12.39,77.5,18.4,706.2
6037535300,71.89,5.41,10.87,69.5,14.0,984.84
6037123304,56.33,5.68,9.97,58.4,18.8,2333.92
6037536102,37.83,7.69,9.23,36.4,9.1,2135.53
6037237202,137.25,7.76,10.85,47.1,11.5,1039.82
6065030400,61.75,5.06,9.13,59.7,12.9,1820.51
6037542502,110.81,9.17,12.82,60.7,20.0,622.21
6037127104,98.74,7.67,13.75,54.3,21.8,1502.57
6019002800,100.91,7.65,12.3,80.2,21.5,821.23
6037433901,63.26,5.3,8.05,70.9,11.5,828.23
6071004003,48.17,6.54,8.99,52.3,15.1,492.28
6037302505,54.47,7.24,11.24,65.5,16.6,784.56
6077002000,80.48,5.74,11.23,68.5,18.8,1354.4
6037188100,60.91,5.22,9.09,40.8,7.8,3118.84
6065040204,55.89,5.37,12.3,67.3,14.0,1586.76
6037240500,95.56,7.66,13.17,76.0,14.3,3760.06
6071004104,83.09,6.3,11.08,73.4,22.9,1016.11
6037602509,73.29,5.39,9.96,45.9,6.1,2309.13
6047001005,94.1,7.62,14.19,67.7,25.2,808.6
6099003700,82.64,5.18,14.43,44.9,12.1,809.5
6077002402,128.15,4.61,14.74,71.0,21.7,1123.75
6037239320,95.56,5.63,13.17,65.4,10.0,1154.06
6037542601,99.6,6.68,11.71,66.5,14.7,604.98
6037122121,77.04,6.25,8.41,48.1,11.8,970.75
6037219800,100.42,6.88,9.96,66.7,13.2,2880.28
6037541603,67.98,5.24,9.16,74.9,21.9,752.18
6037402303,68.69,8.14,7.99,69.0,11.3,1877.05
6065042209,52.47,7.45,7.72,63.2,15.5,1563.53
6037433801,52.93,6.56,8.53,73.3,9.6,706.85
6037601502,68.69,8.66,11.11,70.5,10.0,3005.12
6037121020,78.9,7.55,13.7,38.5,8.8,2025.76
6037572301,72.09,5.24,9.55,46.6,12.9,2119.0
6037204700,58.02,6.42,8.57,58.4,7.2,2876.64
6037535606,46.23,6.9,11.83,76.9,9.4,1060.77
6037239330,45.07,6.86,6.57,72.7,13.2,1269.31
6019002400,116.9,7.33,9.6,80.2,19.3,1124.63
6099000304,48.64,4.8,10.04,59.6,16.3,306.4
6037122000,70.59,5.15,11.71,39.1,14.6,2435.26
6037534101,48.15,4.63,10.08,71.1,7.0,2121.54
6077003802,94.06,7.5,11.01,39.5,15.1,1388.33
6037602801,114.99,7.05,11.94,67.2,14.6,2860.99
6099002501,52.08,5.0,10.33,48.0,17.1,768.49
6077003900,79.43,6.25,9.75,56.2,7.7,183.14
6019001410,73.98,5.91,10.49,50.5,12.7,315.72
6071002110,50.04,6.59,12.18,40.3,12.9,920.88
6037532303,56.07,4.48,10.09,33.2,18.2,1636.33
6037123010,73.24,6.56,8.12,63.0,10.4,1010.75
6037296210,84.98,7.41,9.68,64.3,18.4,743.12
6037124103,70.64,7.11,13.05,64.2,18.1,1224.33
